CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2715,8424.013071895424,1675.3071895424837,201.6078431372549,416.6862745098039,4925.300653594772,1131.9738562091504,488.5359477124183,385.41830065359477,5792.21568627451,3707.3660130718954,281.797385620915,892.7908496732026,648.7973856209151,866.6993464052288,153,14.85791081149045,13.26214393024134,0.4508530972916185,0.9386503067484663,0.7285714285714285,0.12644222724061902
2716,26939.467741935485,1358.725806451613,217.5483870967742,1491.6129032258063,14497.225806451614,1056.6290322580646,880.3387096774194,390.83870967741933,18374.032258064515,1222.2096774193549,345.66129032258067,908.483870967742,991.9193548387096,864.4677419354839,62,9.492546096348658,8.483183918761794,0.44872892710192763,0.8732394366197183,0.6888888888888889,1.3129020705562207
2717,9289.138461538461,1523.7230769230769,342.6,818.7538461538461,5520.492307692308,1823.1076923076923,719.3692307692307,1444.6615384615384,6866.846153846154,1361.1846153846154,571.4769230769231,940.4,1461.753846153846,865.5692307692308,65,11.591342408151084,7.656722311904333,0.7507774207600059,0.8333333333333334,0.6565656565656566,-0.21415383151960857
2718,42504.48888888889,1484.111111111111,271.44444444444446,1852.0444444444445,25895.866666666665,897.1777777777778,822.5777777777778,413.2,31664.555555555555,1314.2666666666667,392.77777777777777,898.7555555555556,341.5111111111111,864.0888888888888,45,7.8074073548793885,7.338210181412098,0.3414399600634467,0.9782608695652174,0.703125,1.4723166018059795
2719,20647.646153846155,1222.3538461538462,223.3230769230769,1265.4307692307693,10767.323076923078,927.5384615384615,1485.1692307692308,434.2769230769231,13966.76923076923,1049.4923076923078,282.2153846153846,890.5538461538462,1143.6153846153845,866.8923076923077,65,11.403165404046527,7.514089870277522,0.7521887391102934,0.9027777777777778,0.6770833333333334,-0.005662272090605169
2720,34730.692307692305,1524.0,250.35384615384615,2166.246153846154,18106.492307692308,1073.6307692307691,982.5692307692308,386.73846153846154,22738.153846153848,1310.3846153846155,511.03076923076924,923.5846153846154,950.9384615384615,866.2615384615384,65,12.535655932754496,6.87319156493253,0.8362873959347845,0.8666666666666667,0.5555555555555556,-1.343672645829833
2721,24048.969696969696,1377.8939393939395,185.4090909090909,1596.6060606060605,12988.30303030303,996.7727272727273,757.3030303030303,371.2121212121212,15941.318181818182,1153.378787878788,300.77272727272725,902.8484848484849,1038.9242424242425,867.2878787878788,66,11.013438144736638,7.844028937080784,0.7019528146543178,0.8918918918918919,0.6666666666666666,-0.702045858942247
2722,23180.75,1960.7205882352941,283.86764705882354,327.80882352941177,13453.779411764706,1159.7058823529412,590.2058823529412,404.47058823529414,17508.41176470588,3196.8823529411766,411.2647058823529,932.8529411764706,1326.8235294117646,869.6176470588235,68,17.543736225745725,5.084342360083233,0.9570843342012967,0.918918918918919,0.8,-0.0038292736514811943
2723,14451.776315789473,1413.4473684210527,295.6578947368421,781.1184210526316,7663.921052631579,1278.3947368421052,621.5526315789474,401.8421052631579,9271.592105263158,1273.5657894736842,350.7763157894737,911.7894736842105,336.2236842105263,870.0,76,11.241342620778124,9.278729436749064,0.564532061659859,0.8735632183908046,0.5846153846153846,0.1817078855717235
2724,15194.201388888889,1794.673611111111,233.25694444444446,757.1631944444445,8544.097222222223,1257.798611111111,503.47569444444446,428.8263888888889,10313.236111111111,1848.28125,333.49652777777777,969.5833333333334,540.4548611111111,871.6041666666666,288,19.480476456815573,18.967057495567033,0.2280712914191855,0.9504950495049505,0.7578947368421053,1.1130669312038657
2725,15058.616822429907,1248.3177570093458,206.57943925233644,1036.0747663551401,8303.757009345794,1078.4485981308412,602.5140186915888,472.41121495327104,10038.121495327103,1540.4672897196263,374.21495327102804,916.0934579439253,764.7196261682243,869.7476635514018,107,14.392726045910468,9.724860218327002,0.7371961244530728,0.9067796610169492,0.5944444444444444,-0.371345003548856
2726,35488.519230769234,1498.7692307692307,290.4423076923077,1101.9807692307693,20176.28846153846,1514.2884615384614,2104.5384615384614,832.3269230769231,26158.98076923077,1307.2307692307693,506.0,925.25,1214.5961538461538,866.7884615384615,52,9.753287736826906,6.973152630812173,0.6991714362142673,0.9122807017543859,0.7222222222222222,0.7782721506243523
2727,19925.988095238095,1422.702380952381,3762.6190476190477,431.4642857142857,11579.285714285714,1152.392857142857,417.85714285714283,1361.8809523809523,13676.511904761905,1171.047619047619,298.1190476190476,939.7619047619048,266.0595238095238,868.0238095238095,84,11.446033087593463,9.307891954401553,0.5819870339613499,0.9655172413793104,0.8484848484848485,-1.4221630059499288
2728,25088.774647887323,1413.281690140845,265.53521126760563,1502.0422535211267,12908.521126760563,1138.112676056338,869.6056338028169,378.23943661971833,16077.042253521127,1221.774647887324,340.61971830985914,895.7464788732394,855.0,867.6901408450705,71,11.63889867598184,7.915921064975024,0.73309495924704,0.922077922077922,0.8068181818181818,1.5118471728441345
2729,13671.924528301886,1462.3867924528302,265.9811320754717,415.0,8028.38679245283,859.0,1831.745283018868,394.5943396226415,9738.594339622641,1277.4433962264152,350.188679245283,894.8962264150944,376.83962264150944,870.5,106,15.310559911485683,9.026467062776991,0.8077258556788296,0.9380530973451328,0.6794871794871795,0.7754160667461687
2730,21757.91379310345,1434.655172413793,257.48275862068965,1794.6379310344828,10944.241379310344,1078.3275862068965,751.7931034482758,369.5689655172414,13727.724137931034,1204.7068965517242,333.3965517241379,910.1034482758621,864.6379310344828,868.8103448275862,58,9.767411356602942,7.655999101351382,0.6209742968483241,0.9354838709677419,0.7160493827160493,-0.44701812292712706
2731,26083.87951807229,1426.9518072289156,245.6265060240964,2349.397590361446,13852.180722891566,1121.9156626506024,851.8072289156627,395.3614457831325,17106.590361445782,1224.421686746988,375.12048192771084,915.9759036144578,912.1807228915662,870.0963855421687,83,10.777976585772588,10.135594249789962,0.3400741766135534,0.9120879120879121,0.5763888888888888,-0.45348162868546454
2732,28649.614285714284,1373.9857142857143,251.61428571428573,1391.3428571428572,15192.1,903.1428571428571,791.7142857142857,380.25714285714287,19091.442857142858,1197.8285714285714,339.3285714285714,907.6714285714286,933.2,869.9,70,11.92324703707062,7.993329903746595,0.7420010220046322,0.8536585365853658,0.5785123966942148,0.49637806730719874
2733,19188.295454545456,1566.4431818181818,286.9431818181818,337.3636363636364,10764.079545454546,1095.2386363636363,667.3068181818181,407.97727272727275,13862.636363636364,2543.056818181818,310.72727272727275,905.7954545454545,1241.090909090909,870.3863636363636,88,10.928512954226228,10.280238668856297,0.33929376519140186,0.9361702127659575,0.7272727272727273,0.8947652351086576
2734,30157.075,1489.3875,262.525,2228.5375,15658.1375,1012.3125,722.5,402.7,19918.9,1275.3875,368.9125,929.7875,971.2625,870.525,80,11.869889693725233,9.622537017792945,0.5855064178702035,0.8333333333333334,0.5194805194805194,-1.271583964297706
2735,14656.376404494382,2131.0224719101125,342.85393258426967,319.58988764044943,8598.887640449439,1039.1797752808989,473.2191011235955,380.7865168539326,10109.88202247191,2010.056179775281,293.9831460674157,931.7752808988764,308.97752808988764,875.4606741573034,178,18.641299183435155,12.528508396364089,0.7404754255208178,0.9319371727748691,0.6544117647058824,-0.7143199488020823
2736,11852.411764705883,1423.2941176470588,266.15686274509807,1299.1176470588234,7150.490196078431,1268.862745098039,632.2941176470588,584.7254901960785,8657.509803921568,3191.0588235294117,303.45098039215685,918.7058823529412,390.7843137254902,870.3529411764706,51,9.756532918003824,6.787684194991837,0.7183260735847038,0.8947368421052632,0.6375,1.280928597653526
2737,22277.704545454544,1629.25,233.13636363636363,1434.0454545454545,12556.613636363636,1271.2954545454545,835.5,570.2045454545455,15463.65909090909,4206.068181818182,335.04545454545456,902.0454545454545,568.4090909090909,870.8409090909091,44,8.971249333225165,6.184838121664112,0.7243746255298888,1.0,0.8148148148148148,0.11169059312983536
